subject,interval_id,method,gt_type,csv_onset_s,csv_end_s,csv_duration_s,annot_start_used,pt_onset_s,pt_end_s,analysis_start_s_pt,analysis_end_s_pt,analysis_duration_s,was_clipped,is_empty,n_detected_total,n_detected_phasic,n_detected_tonic,n_detected_ambiguous,detected_types,status,same_type_detected,any_detected,none_detected,only_ambiguous,other_type_detected
rbd3,99,rms,phasic,4095.0,4107.0,12.0,0.0,4095.0,4107.0,4095.0,4107.0,12.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,99,tkeo,phasic,4095.0,4107.0,12.0,0.0,4095.0,4107.0,4095.0,4107.0,12.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,100,rms,phasic,4113.0,4140.0,27.0,0.0,4113.0,4140.0,4113.0,4140.0,27.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,100,tkeo,phasic,4113.0,4140.0,27.0,0.0,4113.0,4140.0,4113.0,4140.0,27.0,False,False,3,2,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,101,rms,phasic,4188.0,4212.0,24.0,0.0,4188.0,4212.0,4188.0,4212.0,24.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,101,tkeo,phasic,4188.0,4212.0,24.0,0.0,4188.0,4212.0,4188.0,4212.0,24.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,102,rms,tonic,4221.0,4245.0,24.0,0.0,4221.0,4245.0,4221.0,4245.0,24.0,False,False,4,3,0,1,any|phasic,other_type_detected,False,True,False,False,True
rbd3,102,tkeo,tonic,4221.0,4245.0,24.0,0.0,4221.0,4245.0,4221.0,4245.0,24.0,False,False,3,2,0,1,any|phasic,other_type_detected,False,True,False,False,True
rbd3,103,rms,phasic,4266.0,4293.0,27.0,0.0,4266.0,4293.0,4266.0,4293.0,27.0,False,False,4,4,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,103,tkeo,phasic,4266.0,4293.0,27.0,0.0,4266.0,4293.0,4266.0,4293.0,27.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,104,rms,phasic,4314.0,4332.0,18.0,0.0,4314.0,4332.0,4314.0,4332.0,18.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,104,tkeo,phasic,4314.0,4332.0,18.0,0.0,4314.0,4332.0,4314.0,4332.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,105,rms,phasic,4356.0,4368.0,12.0,0.0,4356.0,4368.0,4356.0,4368.0,12.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,105,tkeo,phasic,4356.0,4368.0,12.0,0.0,4356.0,4368.0,4356.0,4368.0,12.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,106,rms,phasic,4374.0,4386.0,12.0,0.0,4374.0,4386.0,4374.0,4386.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,106,tkeo,phasic,4374.0,4386.0,12.0,0.0,4374.0,4386.0,4374.0,4386.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
